Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Kuwait,Eastern Mediterranean,667290,15625,,,,2570,60,,,
Jersey,,66391,61589,,,,161,149,,,
Dominican Republic,Americas,661103,6094,,,,4384,40,,,
Saint Kitts and Nevis,Americas,6607,12421,,,,46,86,,,
Republic of Moldova,Europe,650037,16114,532,13,532,12278,304,4,,4
Cabo Verde,Africa,64474,11596,,,,417,75,,,
Myanmar,South-East Asia,643155,1182,22,,22,19494,36,,,
Sudan,Eastern Mediterranean,63993,146,,,,5046,12,,,
Colombia,Americas,6394124,12566,102,,102,142727,281,,,
Mauritania,Africa,63875,1374,,,,997,21,,,
Palau,Western Pacific,6372,35220,,,,10,55,,,
Bhutan,South-East Asia,62697,8125,,,,21,3,,,
Estonia,Europe,610471,45935,,,,2998,226,,,
Austria,Europe,6082656,68336,74,1,74,22534,253,,,
Syrian Arab Republic,Eastern Mediterranean,57423,328,,,,3163,18,,,
Greece,Europe,5711191,53283,5192,48,5192,39534,369,36,,36
Portugal,Europe,5668575,55057,520,5,520,28989,282,12,,12
Ukraine,Europe,5541063,12670,643,1,643,109923,251,,,
Venezuela (Bolivarian Republic of),Americas,552695,1944,,,,5856,21,,,
Saint Barth�lemy,,5507,55711,,,,5,51,,,
Burundi,Africa,54569,459,,,,15,,,,
Chile,Americas,5402165,28260,,,,62751,328,,,
Nauru,Western Pacific,5393,49778,,,,1,9,,,
Malaysia,Western Pacific,5314299,16419,,,,37351,115,,,
Guam,Western Pacific,52287,30980,,,,419,248,,,
Seychelles,Africa,51891,52763,,,,172,175,,,
Egypt,Eastern Mediterranean,516023,504,,,,24830,24,,,
Qatar,Eastern Mediterranean,514524,17859,,,,690,24,,,
Kiribati,Western Pacific,5085,4257,,,,24,20,,,
Libya,Eastern Mediterranean,507269,7382,,,,6437,94,,,
Ethiopia,Africa,501224,436,,,,7574,7,,,
International conveyance (Solomon Islands),Other,5,,,,,0,,,,
R�union,,494595,55243,,,,921,103,,,
Gabon,Africa,49056,2204,,,,307,14,,,
Belgium,Europe,4883672,42384,1842,16,1842,34339,298,,,
Israel,Europe,4841558,55936,,,,12707,147,,,
Canada,Americas,4819055,12768,,,,55282,146,,,
Thailand,South-East Asia,4802102,6880,287,,287,34728,50,3,,3
Andorra,Europe,48015,62143,,,,159,206,,,
Czechia,Europe,4784214,44738,7124,67,7124,43580,408,25,,25
Honduras,Americas,472909,4775,,,,11114,112,,,
Papua New Guinea,Western Pacific,46864,524,,,,670,7,,,
Cura�ao,Americas,45883,27962,,,,305,186,,,
Peru,Americas,4526977,13730,,,,220975,670,,,
Armenia,Europe,452273,15263,,,,8777,296,,,
India,South-East Asia,45043605,3264,190,,190,533646,39,5,,5
Switzerland,Europe,4463133,51569,1019,12,1019,14170,164,,,
Aruba,Americas,44224,41421,,,,292,273,,,
United Republic of Tanzania,Africa,43244,72,,,,846,1,,,
Mayotte,,42027,15405,,,,187,69,,,
Philippines,Western Pacific,4140383,3778,,,,66864,61,,,
South Africa,Africa,4072806,6867,,,,102595,173,,,
Bosnia and Herzegovina,Europe,403890,12311,22,1,22,16400,500,,,
International conveyance (American Samoa),Other,4,,,,,0,,,,
Pitcairn,,4,8000,,,,0,,,,
Oman,Eastern Mediterranean,399449,7822,,,,4628,91,,,
Togo,Africa,39531,478,,,,290,4,,,
Luxembourg,Europe,394694,63039,,,,1000,160,,,
Bahamas,Americas,39127,9950,,,,849,216,,,
Anguilla,Americas,3904,26023,,,,12,80,,,
France,Europe,39018151,59992,1873,3,1873,168091,258,,,
Guinea,Africa,38575,294,,,,468,4,,,
Germany,Europe,38437756,46218,,,,174979,210,,,
Isle of Man,,38008,44698,,,,116,136,,,
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Brazil,Americas,37511921,17648,,,,702116,330,,,
Lesotho,Africa,36138,1687,,,,709,33,,,
Romania,Europe,3565717,18448,610,3,610,68899,356,,,
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,351819,16887,,,,9981,479,,,
Zambia,Africa,349880,1903,,,,4078,22,,,
Brunei Darussalam,Western Pacific,348846,79740,109,25,109,181,41,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Haiti,Americas,34515,303,,,,860,8,,,
Kenya,Africa,344109,640,,,,5689,11,,,
Denmark,Europe,3439642,59072,,,,9808,168,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,335047,11642,,,,3605,125,,,
Mali,Africa,33166,164,,,,743,4,,,
Botswana,Africa,330696,14062,,,,2801,119,,,
Mauritius,Africa,328744,25849,,,,1074,84,,,
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30288,16494,,,,410,223,,,
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2762040,26744,706,7,706,27787,269,52,1,52
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272170,621,,,,6881,16,,,
Italy,Europe,26826486,44980,,,,197542,331,,,
Nigeria,Africa,267189,130,,,,3155,2,,,
Zimbabwe,Africa,266393,1792,,,,5740,39,,,
New Zealand,Western Pacific,2648508,54923,771,16,771,4426,92,2,,2
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2583470,37297,,,,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25234,457,,,,389,7,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
United Kingdom of Great Britain and Northern Ireland,Europe,24995559,36820,3412,5,3412,232112,342,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Russian Federation,Europe,24459812,16761,35689,24,35689,403390,276,38,,38
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233843,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2233893,22866,969,10,969,49073,502,4,,4
Burkina Faso,Africa,22139,106,,,,400,2,,,
Lao People's Democratic Republic,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21595,55733,1,3,1,89,230,,,
Iceland,Europe,210607,57838,16,4,16,186,51,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2051426,1246,9,,9,29499,18,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,201951,3114,,,,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
South Sudan,Africa,18830,168,,,,147,1,,,
Slovakia,Europe,1880678,34458,796,15,796,21231,389,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1863615,46717,,,,17150,430,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Uzbekistan,Europe,175081,523,,,,1016,3,,,
Ireland,Europe,1749276,35236,540,11,540,9871,199,1,,1
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Namibia,Africa,172556,6791,,,,4110,162,,,
Uganda,Africa,172159,376,,,,3632,8,,,
Ghana,Africa,172107,554,,,,1462,5,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004726,20162,,,,101419,120,,,
Tonga,Western Pacific,16992,16076,,,,13,12,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Nicaragua,Americas,16194,244,1,,1,245,4,,,
Dominica,Americas,16047,22290,,,,74,103,,,
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157298,5312,1,,1,3615,122,,,
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Republic,Africa,15441,320,,,,113,2,,,
Norway,Europe,1520656,28330,910,17,910,5732,107,,,
Kazakhstan,Europe,1504370,8012,,,,19072,102,,,
Finland,Europe,1499712,27143,,,,11466,208,,,
Northern Mariana Islands,Western Pacific,14982,26030,,,,41,71,,,
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139324,833,,,,3056,18,,,
Lithuania,Europe,1392401,49834,3875,139,3875,9827,352,3,,3
Slovenia,Europe,1358754,64830,378,18,378,9710,463,,,
Croatia,Europe,1341188,33049,3390,84,3390,18768,462,1,,1
Bulgaria,Europe,1334974,19204,674,10,674,38726,557,5,,5
Rwanda,Africa,133266,1029,,,,1468,11,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Cameroon,Africa,125266,472,,,,1974,7,,,
Guatemala,Americas,1250391,6979,1,,1,20203,113,,,
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Costa Rica,Americas,1235607,24256,,,,9374,184,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Malta,Europe,123083,23920,20,4,20,923,179,,,
Bolivia (Plurinational State of),Americas,1212149,10384,,,,22387,192,,,
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113662,9832,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Barbados,Americas,108829,37870,14,5,14,593,206,,,
Niue,Western Pacific,1087,67182,,,,0,,,,
Ecuador,Americas,1078662,6114,50,,50,36053,204,,,
Angola,Africa,107481,327,,,,1937,6,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1044917,24217,,,,8756,203,2,,2
Uruguay,Americas,1041520,29983,48,1,48,7682,221,,,
United States of America,Americas,103436829,31250,,,,1202657,363,740,,740
Eritrea,Africa,10189,287,,,,103,3,,,
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Argentina,Americas,10103432,22355,296,1,296,130685,289,2,,2
Democratic Republic of the Congo,Africa,100973,113,,,,1474,2,,,
Nepal,South-East Asia,1003450,3444,,,,12031,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
